400,1001,25.25
400,1003,52.25
400,1005,32.20
400,1007,20.25
400,1002,45.25
200,1004,22.25
300,1006,42.20
400,1008,50.25
100,1009,45.25
200,1010,22.25
300,1011,42.20
400,1012,50.25
100,1013,45.25
200,1014,22.25
300,1015,42.20
400,1016,50.25
100,1017,45.25
200,1018,22.25
300,1019,42.20
400,1020,50.25
400,1021,50.25
300,1022,42.20
200,1023,22.25
100,1024,45.25
100,1025,45.25
200,1026,22.25
300,1027,42.20
400,1028,50.25
400,1029,50.25
300,1030,42.20
200,1031,22.25
200,1032,22.25
100,1033,45.25
200,1034,22.25
100,1035,45.25
100,1036,45.25
